District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Montgomery,A. Mario Loiederman Middle,Mathematics 6,6,9.9,9.5,3.9,-0.4
Montgomery,A. Mario Loiederman Middle,Algebra 1,5,5,14,,
Montgomery,A. Mario Loiederman Middle,Geometry,5.7,9.3,14.3,3.6,5
Montgomery,A. Mario Loiederman Middle,English Language Arts 8,35.2,28.8,31.4,-6.4,2.6
Montgomery,A. Mario Loiederman Middle,English Language Arts 6,32.6,35.8,37.7,3.2,1.9
Montgomery,A. Mario Loiederman Middle,English Language Arts 7,27.8,34,40.9,6.2,6.9
Montgomery,A. Mario Loiederman Middle,Mathematics 7,5,5,5,,
Montgomery,A. Mario Loiederman Middle,Mathematics 8,5,5,5,,
Montgomery,A. Mario Loiederman Middle,Algebra 2,*,*,,,
Anne Arundel,AACPS Virtual Academy,Mathematics 8,5,5.9,9.1,,3.2
Anne Arundel,AACPS Virtual Academy,Mathematics 7,5,10.6,14.9,,4.3
Anne Arundel,AACPS Virtual Academy,Algebra 1,11.5,5.6,16.9,-5.9,11.3
Anne Arundel,AACPS Virtual Academy,Mathematics 4,21.4,17.5,19.2,-3.9,1.7
Anne Arundel,AACPS Virtual Academy,Mathematics 5,9.1,5,21.9,,
Anne Arundel,AACPS Virtual Academy,Mathematics 3,18,25,23.1,7,-1.9
Anne Arundel,AACPS Virtual Academy,English Language Arts 6,49.2,40,34.7,-9.2,-5.3
Anne Arundel,AACPS Virtual Academy,English Language Arts 7,27.7,50,37.3,22.3,-12.7
Anne Arundel,AACPS Virtual Academy,English Language Arts 5,29.1,20.9,37.5,-8.2,16.6
Anne Arundel,AACPS Virtual Academy,English Language Arts 4,41.8,40,50,-1.8,10
Anne Arundel,AACPS Virtual Academy,English Language Arts 8,42.2,36.5,53,-5.7,16.5
Anne Arundel,AACPS Virtual Academy,English Language Arts 10,53.6,61.7,58.7,8.1,-3
Anne Arundel,AACPS Virtual Academy,English Language Arts 3,30,45,69.2,15,24.2
Anne Arundel,AACPS Virtual Academy,Mathematics 6,6.2,10,5,3.8,
Baltimore City,Abbottston Elementary,English Language Arts 5,5,21.4,10.2,,-11.2
Baltimore City,Abbottston Elementary,Mathematics 3,5,5,11.6,,
Baltimore City,Abbottston Elementary,English Language Arts 3,5,6.7,16.3,,9.6
Baltimore City,Abbottston Elementary,English Language Arts 4,11.1,10.6,5,-0.5,
Baltimore City,Abbottston Elementary,Mathematics 5,5,11.6,5,,
Baltimore City,Abbottston Elementary,Mathematics 4,5,5,5,,
Harford,Aberdeen High,Algebra 1,5,5,5.2,,
Harford,Aberdeen High,Algebra 2,16.9,45.1,38.3,28.2,-6.8
Harford,Aberdeen High,English Language Arts 10,39,52,40.9,13,-11.1
Harford,Aberdeen High,Geometry,5,5,5,,
Harford,Aberdeen Middle,Mathematics 6,8.4,9.5,6.9,1.1,-2.6
Harford,Aberdeen Middle,Algebra 1,5,5,7.4,,
Harford,Aberdeen Middle,English Language Arts 8,21.4,28.9,28.4,7.5,-0.5
Harford,Aberdeen Middle,English Language Arts 6,22.3,40.4,44.7,18.1,4.3
Harford,Aberdeen Middle,English Language Arts 7,17.6,29.3,45.5,11.7,16.2
Harford,Aberdeen Middle,Geometry,7.6,10,5,2.4,
Harford,Aberdeen Middle,Mathematics 7,5,5,5,,
Harford,Aberdeen Middle,Mathematics 8,5,5,5,,
Harford,Abingdon Elementary,Mathematics 5,10.2,18.5,26.7,8.3,8.2
Harford,Abingdon Elementary,Mathematics 4,25,33,28.8,8,-4.2
Harford,Abingdon Elementary,Mathematics 3,35.9,59.5,51.4,23.6,-8.1
Harford,Abingdon Elementary,English Language Arts 3,58.7,58,54.2,-0.7,-3.8
Harford,Abingdon Elementary,English Language Arts 5,50.5,47.8,61.1,-2.7,13.3
Harford,Abingdon Elementary,English Language Arts 4,52.9,67,64.8,14.1,-2.2
Baltimore City,Academy for College and Career Exploration,Algebra 1,5,5,8.3,,
Baltimore City,Academy for College and Career Exploration,English Language Arts 7,5.6,8.9,15.8,3.3,6.9
Baltimore City,Academy for College and Career Exploration,English Language Arts 8,5,7.7,20.4,,12.7
Baltimore City,Academy for College and Career Exploration,English Language Arts 10,10.8,12.1,20.8,1.3,8.7
Baltimore City,Academy for College and Career Exploration,English Language Arts 6,5.4,14.3,22.2,8.9,7.9
Baltimore City,Academy for College and Career Exploration,Mathematics 6,5,5,5,,
Baltimore City,Academy for College and Career Exploration,Mathematics 7,5,5,5,,
Baltimore City,Academy for College and Career Exploration,Mathematics 8,5,5,5,,
Prince George's,Academy of Health Sciences at PGCC,Algebra 2,,*,25,,
Prince George's,Academy of Health Sciences at PGCC,Algebra 1,22.2,62.7,61.8,40.5,-0.9
Prince George's,Academy of Health Sciences at PGCC,English Language Arts 10,95,95,94.5,,
Prince George's,Academy of Health Sciences at PGCC,Geometry,,11.1,,,
Garrett,Accident Elementary,English Language Arts 3,50,57.1,33.3,7.1,-23.8
Garrett,Accident Elementary,Mathematics 4,51.2,29,46.4,-22.2,17.4
Garrett,Accident Elementary,Mathematics 5,41.2,38.1,47.1,-3.1,9
Garrett,Accident Elementary,English Language Arts 5,52.9,64.3,50,11.4,-14.3
Garrett,Accident Elementary,Mathematics 3,50,57.1,51.9,7.1,-5.2
Garrett,Accident Elementary,English Language Arts 4,64.3,48.4,67.9,-15.9,19.5
Prince George's,Accokeek Academy,Mathematics 8,15.5,14.9,11.2,-0.6,-3.7
Prince George's,Accokeek Academy,Mathematics 5,7.4,10.5,12.6,3.1,2.1
Prince George's,Accokeek Academy,Mathematics 7,19.3,23.3,19,4,-4.3
Prince George's,Accokeek Academy,Mathematics 6,22.9,15.5,19.1,-7.4,3.6
Prince George's,Accokeek Academy,Mathematics 4,24.8,25.4,19.3,0.6,-6.1
Prince George's,Accokeek Academy,Mathematics 3,32.8,35,38.7,2.2,3.7
Prince George's,Accokeek Academy,English Language Arts 4,43.2,57.9,47.6,14.7,-10.3
Prince George's,Accokeek Academy,English Language Arts 3,63.9,50,52.1,-13.9,2.1
Prince George's,Accokeek Academy,English Language Arts 8,53.1,56.4,56.3,3.3,-0.1
Prince George's,Accokeek Academy,English Language Arts 7,66.4,63.8,63,-2.6,-0.8
Prince George's,Accokeek Academy,English Language Arts 6,61.5,67.7,63.5,6.2,-4.2
Prince George's,Accokeek Academy,English Language Arts 5,37.7,30.6,63.8,-7.1,33.2
Prince George's,Accokeek Academy,Algebra 1,63.3,60.3,74.6,-3,14.3
Prince George's,Accokeek Academy,Geometry,*,*,*,,
Baltimore City,Achievement Academy at Harbor City High,English Language Arts 10,6.9,6.2,21.6,-0.7,15.4
Baltimore City,Achievement Academy at Harbor City High,Algebra 1,5,5,5,,
Prince George's,Adelphi Elementary,Mathematics 5,5.5,5.9,9.5,0.4,3.6
Prince George's,Adelphi Elementary,Mathematics 3,13,14.6,16.7,1.6,2.1
Prince George's,Adelphi Elementary,Mathematics 4,10.7,20.9,22,10.2,1.1
