Article,Date,Writer,Editor,Tag 1,Tag 2,Tag 3,Tage 4 ,Tag 5,Category
UMD Dining Services tracks student food waste with weekly audits at 251 North,3/10/2026,Johana Gonzalez-Cruz,Pera Onal,251 north,composting,umd dining services,food waste,recycling,Campus
Old College Park apartment complex reopens as The Arbor,3/10/2026,Amelia Twyman,Natalie Weger,apartment,apartment building,college park housing,the arbor,leasing,Local
UMD students voice frustration with Veo overcrowding at campus bike racks,3/10/2026,Clare Roth,Natalie Weger,bike racks,e-scooters,micromobility,UMD DOTS,veo,Campus
Maryland lawmakers consider banning law enforcement officers from wearing face coverings,3/9/2026,Nicole Pilsbury,Marijke Friedman,face mask,law enforcement,maryland general assembly,nicole williams,police,State
UMD SGA plans to eliminate residential representatives,3/9/2026,Katherine Schutzman,Marijke Friedman,Dhruvak Mirani,residence hall association,sga eleciton,student government association,sga elections commission,Campus
Meet the 4 Prince George’s County officials running for Maryland’s 5th District,3/9/2026,Brenna Tichy,Mayah Nachman,5th district,candidates,election,prince george's county,steny hoyer,Local
UPDATED: Power returns to all UMD buildings after campuswide outage,3/8/2026,Pera Onal,Mayah Nachman,dorms,campus,electricity,power outage,power outages,Campus
"Plans for ICE detention center in Hagerstown spark concern among lawmakers, community",3/6/2026,Nicole Pilsbury,Natalie Weger,detention centers,immigration,hagerstown,ice,immigration,State
"UMD sees boost to program that helps employees, TAs save on public transit",3/6/2026,Clare Roth,Natalie Weger,employees,public transit,transportation,teaching assistants,pre-tax transit commuter benefits program,Campus
UMD SGA demands USM regent resign for his associations with Jeffrey Epstein,3/5/2026,Katherine Schutzman,Marijke Friedman,board of regents,epstein files,student government association,tom mcmillen,university system of maryland,Campus
College Park will use AI-powered stop sign cameras to ticket drivers,3/5/2026,Tyler Quattrin,Marijke Friedman,citation,college park,fazlul kabir,public safety,stop sign,Local
UMD graduate workers protest payroll failures at university president’s speech,3/5/2026,Caroline McDonough,Pera Onal,graduate workers,collective bargaining,payroll,workday,president darryll pines,Campus
"UMD Black enrollment from DC, Prince George’s County falls short of 2020 goal",3/5/2026,Irit Skulnik,Natalie Weger,25 demands,black student enrollment,black student leaders,dc ,prince george's county,Campus
"UMD GSG calls for improved international student guidance, expanded shuttle services",3/4/2026,Caroline McDonough,Mayah Nachman,graduate students,gsg,international students,shuttle-um,transportation,Campus
UMD lab finds unhealthy bacteria in Potomac River after historic sewage spill,3/4/2026,Charlotte Sutton,Marijke Friedman,bacteria,potomac river,public health school,sewage,water quality,State
"UMD students voice frustration with laundry delays, broken machines",3/3/2026,Johana Gonzalez-Cruz,Pera Onal,laundry,north hill,residence hall association,residential facilities,south hill community,Campus
UMD administrators say journalism faculty letter potentially misled campus community,3/2/2026,Natalie Weger,Pera Onal,al-hikmah,code of conduct,umpd detainment,journalism school,student journalists,Campus
UMD students upset after Trump administration repeals landmark climate change regulation,3/2/2026,Nicole Pilsbury,Natalie Weger,climate change,environmental protection agency,greenhouse gas emmissions,trump administration,umd,Campus
Maryland Hillel continues work on new building after weather delays,3/2/2026,Amelia Twyman,Mayah Nachman,maryland hillel,hillel,jewish students,development,construction,Campus
Local leaders say new Sphere at the National Harbor will have massive economic benefits,3/2/2026,Brenna Tichy,Marijke Friedman,national harbor,economic impact,governor wes moore,prince george's county,sphere,Local
